Frequency (Hz)	Level (dB)
46781.250000	-101.098518
46875.000000	-99.043182
46968.750000	-97.988907
47062.500000	-96.593925
47156.250000	-96.063728
47250.000000	-95.392677
47343.750000	-93.637215
47437.500000	-92.063843
47531.250000	-91.735077
47625.000000	-91.694603
47718.750000	-91.044708
47812.500000	-90.045410
47906.250000	-89.128395
48000.000000	-88.307159
48093.750000	-87.502052
48187.500000	-86.856979
48281.250000	-86.414070
48375.000000	-86.101936
48468.750000	-85.827393
48562.500000	-86.125969
48656.250000	-87.352844
48750.000000	-89.099533
48843.750000	-91.337799
48937.500000	-95.960693
49031.250000	-105.069817
49125.000000	-101.528595
49218.750000	-97.631897
49312.500000	-96.677742
49406.250000	-97.612862
49500.000000	-100.501396
49593.750000	-103.707535
49687.500000	-105.995842
49781.250000	-110.078362
49875.000000	-116.041725
49968.750000	-118.993202
50062.500000	-114.347733
50156.250000	-112.424240
50250.000000	-111.437057
50343.750000	-112.143364
50437.500000	-114.546394
50531.250000	-118.900970
50625.000000	-121.025543
50718.750000	-119.934662
50812.500000	-119.707779
50906.250000	-120.762093
51000.000000	-119.700684
51093.750000	-119.571838
51187.500000	-119.763283
51281.250000	-118.750084
51375.000000	-118.706635
51468.750000	-118.869789
51562.500000	-119.197136
51656.250000	-119.188255
51750.000000	-118.555908
51843.750000	-118.971771
51937.500000	-118.506142
52031.250000	-118.316132
52125.000000	-117.773682
52218.750000	-117.682961
52312.500000	-117.710289
52406.250000	-118.056084
52500.000000	-117.846535
52593.750000	-118.218651
52687.500000	-119.279671
52781.250000	-120.454269
52875.000000	-122.088547
52968.750000	-120.718666
53062.500000	-119.888199
53156.250000	-120.187027
53250.000000	-122.099747
53343.750000	-120.858833
53437.500000	-119.175507
53531.250000	-117.643341
53625.000000	-116.718842
53718.750000	-114.848076
53812.500000	-114.054443
53906.250000	-113.459450
54000.000000	-112.718185
54093.750000	-112.632790
54187.500000	-112.531067
54281.250000	-112.911026
54375.000000	-112.085350
54468.750000	-112.643623
54562.500000	-114.958397
54656.250000	-118.791862
54750.000000	-122.033432
54843.750000	-119.948669
54937.500000	-118.606155
55031.250000	-118.744965
55125.000000	-120.653412
55218.750000	-120.007744
55312.500000	-118.645172
55406.250000	-116.779930
55500.000000	-115.432137
55593.750000	-114.325043
55687.500000	-113.167702
55781.250000	-112.617546
55875.000000	-112.656998
55968.750000	-112.786217
56062.500000	-112.952316
56156.250000	-112.725807
56250.000000	-112.273102
56343.750000	-111.705399
56437.500000	-111.991219
56531.250000	-112.535576
56625.000000	-112.644157
56718.750000	-112.351440
56812.500000	-112.679001
56906.250000	-113.259361
57000.000000	-114.231628
57093.750000	-116.915733
57187.500000	-119.566048
57281.250000	-120.025551
57375.000000	-119.858757
57468.750000	-120.921959
57562.500000	-119.058388
57656.250000	-118.898544
57750.000000	-120.713379
57843.750000	-121.162239
57937.500000	-120.828239
58031.250000	-121.039406
58125.000000	-120.279961
58218.750000	-119.624382
58312.500000	-118.933243
58406.250000	-117.929138
58500.000000	-118.329597
58593.750000	-118.057610
58687.500000	-118.742813
58781.250000	-120.590286
58875.000000	-121.397011
58968.750000	-122.651291
59062.500000	-121.377411
59156.250000	-121.964569
59250.000000	-122.568695
59343.750000	-122.098274
59437.500000	-121.324203
59531.250000	-120.890869
59625.000000	-121.435493
59718.750000	-120.065292
59812.500000	-118.597725
59906.250000	-119.059212
60000.000000	-120.237892
60093.750000	-119.518791
60187.500000	-120.243385
60281.250000	-120.088165
60375.000000	-119.972336
60468.750000	-121.001503
60562.500000	-118.617722
60656.250000	-117.073517
60750.000000	-114.674576
60843.750000	-114.228012
60937.500000	-114.375122
61031.250000	-115.466347
61125.000000	-117.677284
61218.750000	-118.669785
61312.500000	-119.909286
61406.250000	-120.657173
61500.000000	-121.283852
61593.750000	-121.296982
61687.500000	-120.744980
61781.250000	-118.416199
61875.000000	-119.190475
61968.750000	-119.710068
62062.500000	-118.785583
62156.250000	-119.317711
62250.000000	-119.814034
62343.750000	-117.810783
62437.500000	-117.045685
62531.250000	-118.100288
62625.000000	-117.353668
62718.750000	-117.496025
62812.500000	-118.980789
62906.250000	-119.533508
63000.000000	-119.833267
63093.750000	-120.244568
63187.500000	-120.000671
63281.250000	-119.910553
63375.000000	-118.688377
63468.750000	-117.151001
63562.500000	-115.559593
63656.250000	-113.370979
63750.000000	-111.408813
63843.750000	-109.750214
63937.500000	-108.149338
64031.250000	-106.804764
64125.000000	-106.006050
64218.750000	-106.094231
64312.500000	-106.901863
64406.250000	-107.747307
64500.000000	-109.735695
64593.750000	-114.766922
64687.500000	-116.876381
64781.250000	-112.170540
64875.000000	-109.226250
64968.750000	-107.964455
65062.500000	-108.597649
65156.250000	-109.638824
65250.000000	-109.632477
65343.750000	-109.164963
65437.500000	-109.558594
65531.250000	-110.863861
65625.000000	-112.578873
65718.750000	-114.304893
65812.500000	-115.992676
65906.250000	-117.696800
66000.000000	-119.525551
66093.750000	-121.179070
66187.500000	-120.596863
66281.250000	-121.498444
66375.000000	-121.858368
66468.750000	-121.556900
66562.500000	-120.397804
66656.250000	-120.221024
66750.000000	-120.417610
66843.750000	-119.433685
66937.500000	-119.348343
67031.250000	-121.120918
67125.000000	-121.734161
67218.750000	-121.168640
67312.500000	-121.245590
67406.250000	-122.087372
67500.000000	-123.082329
67593.750000	-120.782463
67687.500000	-121.751190
67781.250000	-120.816818
67875.000000	-121.162659
67968.750000	-120.224709
68062.500000	-119.398964
68156.250000	-118.423477
68250.000000	-118.649918
68343.750000	-117.798820
68437.500000	-117.947380
68531.250000	-118.648468
68625.000000	-118.995476
68718.750000	-118.579689
68812.500000	-118.471352
68906.250000	-118.509346
69000.000000	-119.193153
69093.750000	-118.859596
69187.500000	-118.270859
69281.250000	-119.223083
69375.000000	-120.387428
69468.750000	-119.956818
69562.500000	-119.496391
69656.250000	-119.981369
69750.000000	-120.565323
69843.750000	-120.380791
69937.500000	-121.654968
70031.250000	-122.511024
70125.000000	-120.621170
70218.750000	-119.894722
70312.500000	-121.405563
70406.250000	-121.394447
70500.000000	-119.089142
70593.750000	-118.764549
70687.500000	-119.186653
70781.250000	-117.815941
70875.000000	-116.837952
70968.750000	-116.391548
71062.500000	-116.425346
71156.250000	-116.435875
71250.000000	-117.143707
71343.750000	-118.039268
71437.500000	-119.804436
71531.250000	-120.723679
71625.000000	-119.941208
71718.750000	-120.165344
71812.500000	-119.791939
71906.250000	-120.062332
72000.000000	-119.257851
72093.750000	-121.177231
72187.500000	-121.394936
72281.250000	-120.836952
72375.000000	-121.970184
72468.750000	-121.155594
72562.500000	-121.173225
72656.250000	-121.504250
72750.000000	-121.537521
72843.750000	-120.555962
72937.500000	-120.564789
73031.250000	-121.745125
73125.000000	-121.796288
73218.750000	-121.863647
73312.500000	-121.278198
73406.250000	-123.118668
73500.000000	-123.029381
73593.750000	-121.342712
73687.500000	-121.276688
73781.250000	-120.943443
73875.000000	-121.424042
73968.750000	-121.691383
74062.500000	-120.954041
74156.250000	-120.864105
74250.000000	-121.990662
74343.750000	-121.548439
74437.500000	-121.070869
74531.250000	-121.097031
74625.000000	-121.267731
74718.750000	-121.336975
74812.500000	-121.001488
74906.250000	-121.174232
75000.000000	-120.674171
75093.750000	-120.890877
75187.500000	-120.678650
75281.250000	-121.083313
75375.000000	-120.662605
75468.750000	-121.452782
75562.500000	-122.463112
75656.250000	-122.184006
75750.000000	-122.815964
75843.750000	-122.069603
75937.500000	-121.246849
76031.250000	-120.458595
76125.000000	-120.245255
76218.750000	-119.141724
76312.500000	-119.199097
76406.250000	-119.944221
76500.000000	-119.644318
76593.750000	-118.693619
76687.500000	-117.339973
76781.250000	-116.835960
76875.000000	-116.805290
76968.750000	-115.943687
77062.500000	-114.966415
77156.250000	-115.802864
77250.000000	-116.749901
77343.750000	-117.704079
77437.500000	-119.829552
77531.250000	-121.653442
77625.000000	-119.734177
77718.750000	-120.457924
77812.500000	-119.257057
77906.250000	-118.314835
78000.000000	-120.467537
78093.750000	-119.655731
78187.500000	-119.732407
78281.250000	-120.854355
78375.000000	-120.220528
78468.750000	-120.264870
78562.500000	-121.039703
78656.250000	-120.282356
78750.000000	-120.057930
78843.750000	-119.074196
78937.500000	-119.698486
79031.250000	-119.998161
79125.000000	-119.383415
79218.750000	-118.569855
79312.500000	-118.070862
79406.250000	-117.497414
79500.000000	-117.887970
79593.750000	-117.730843
79687.500000	-117.982727
79781.250000	-117.197899
79875.000000	-118.220459
79968.750000	-119.185379
80062.500000	-119.126968
80156.250000	-120.368240
80250.000000	-122.129784
80343.750000	-121.458969
80437.500000	-121.016357
80531.250000	-121.116585
80625.000000	-121.030136
80718.750000	-120.993950
80812.500000	-120.960129
80906.250000	-121.598763
81000.000000	-123.399544
81093.750000	-122.428230
81187.500000	-121.039436
81281.250000	-121.344994
81375.000000	-120.831497
81468.750000	-121.394630
81562.500000	-121.797859
81656.250000	-121.409988
81750.000000	-120.815758
81843.750000	-120.107841
81937.500000	-117.459900
82031.250000	-115.042336
82125.000000	-112.995461
82218.750000	-110.544868
82312.500000	-108.272873
82406.250000	-106.224281
82500.000000	-104.640984
82593.750000	-104.127373
82687.500000	-103.879692
82781.250000	-102.877304
82875.000000	-101.036407
82968.750000	-100.811577
83062.500000	-102.216377
83156.250000	-105.669411
83250.000000	-112.212303
83343.750000	-105.152328
83437.500000	-100.323624
83531.250000	-98.298012
83625.000000	-97.037651
83718.750000	-96.223419
83812.500000	-96.290428
83906.250000	-97.019913
84000.000000	-97.811241
84093.750000	-98.745888
84187.500000	-99.974342
84281.250000	-101.419655
84375.000000	-102.689812
84468.750000	-104.025818
84562.500000	-105.847771
84656.250000	-107.526955
84750.000000	-108.719154
84843.750000	-110.074242
84937.500000	-112.904297
85031.250000	-115.958481
85125.000000	-117.774681
85218.750000	-121.015816
85312.500000	-120.772202
85406.250000	-119.248093
85500.000000	-119.032829
85593.750000	-120.189987
85687.500000	-120.156143
85781.250000	-119.858276
85875.000000	-119.360939
85968.750000	-119.072449
86062.500000	-117.144867
86156.250000	-116.644981
86250.000000	-117.976707
86343.750000	-119.608818
86437.500000	-120.046707
86531.250000	-119.686523
86625.000000	-116.796898
86718.750000	-115.413857
86812.500000	-112.197983
86906.250000	-109.648422
87000.000000	-110.168976
87093.750000	-109.692451
87187.500000	-110.952118
87281.250000	-112.320923
87375.000000	-113.566643
87468.750000	-118.238182
87562.500000	-116.658333
87656.250000	-116.210571
87750.000000	-117.710037
87843.750000	-119.061134
87937.500000	-117.705116
88031.250000	-115.467926
88125.000000	-115.974075
88218.750000	-118.812805
88312.500000	-116.507263
88406.250000	-118.363045
88500.000000	-120.481972
88593.750000	-119.354118
88687.500000	-119.040573
88781.250000	-120.245621
88875.000000	-120.919418
88968.750000	-121.878616
89062.500000	-121.892136
89156.250000	-121.846672
89250.000000	-121.357254
89343.750000	-121.076729
89437.500000	-120.200142
89531.250000	-118.673424
89625.000000	-119.008873
89718.750000	-119.328125
89812.500000	-120.748322
89906.250000	-122.054688
90000.000000	-121.375084
90093.750000	-120.299301
90187.500000	-119.245827
90281.250000	-117.006378
90375.000000	-117.415428
90468.750000	-116.839897
90562.500000	-116.291939
90656.250000	-115.913536
90750.000000	-114.507477
90843.750000	-110.441002
90937.500000	-107.848190
91031.250000	-107.467819
91125.000000	-106.816559
91218.750000	-106.547516
91312.500000	-106.445229
91406.250000	-105.523315
91500.000000	-104.236916
91593.750000	-103.907784
91687.500000	-104.351723
91781.250000	-104.489777
91875.000000	-103.918777
91968.750000	-103.270821
92062.500000	-102.869232
92156.250000	-102.509750
92250.000000	-102.172417
92343.750000	-102.292007
92437.500000	-102.672806
92531.250000	-102.952705
92625.000000	-103.740456
92718.750000	-105.447968
92812.500000	-107.840210
92906.250000	-111.324074
93000.000000	-115.759544
93093.750000	-120.531349
93187.500000	-121.551338
93281.250000	-121.794746
93375.000000	-118.428413
93468.750000	-115.583580
93562.500000	-114.175041
93656.250000	-113.471466
93750.000000	-112.112816
93843.750000	-110.746544
93937.500000	-109.892136
94031.250000	-110.179749
94125.000000	-111.027138
94218.750000	-111.601524
94312.500000	-112.477310
94406.250000	-114.076508
94500.000000	-116.518921
94593.750000	-119.777489
94687.500000	-122.063721
94781.250000	-121.348503
94875.000000	-120.230003
94968.750000	-120.649086
95062.500000	-121.820206
95156.250000	-121.114693
95250.000000	-121.312378
95343.750000	-120.860481
95437.500000	-120.301826
95531.250000	-119.925781
95625.000000	-121.892441
95718.750000	-120.739189
95812.500000	-120.071121
95906.250000	-120.444298
